原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
YSH-0570S,48,36275,1169.0,0,38.0,1758.0
YSH-0371S,48,35865,1169.0,1758.0,38.0,675.0
YSH-0302SD,49,35725,0,0,498.0,898.0
YSH-0334SD,49,35789,0,898.0,497.0,730.0
YSH-0458S,49,36044,0,1628.0,494.5,725.5
YSH-0477SD,49,36084,0,2353.5,485.0,52.5
YSH-0513S,49,36159,498.0,0,494.0,2284.0
YSH-0238SD,49,35594,498.0,2284.0,403.0,132.5
YSH-0349SD,49,35820,992.0,0,158.0,540.0
YSH-0341SD,49,35803,992.0,540.0,158.0,338.0
YSH-0224SD,49,35566,992.0,878.0,158.0,438.0
YSH-0447SD,49,36021,992.0,1316.0,148.5,459.0
YSH-0525S,49,36183,992.0,1775.0,142.0,429.0
YSH-0465SD,49,36057,1150.0,0,58.0,1900.0
YSH-0463SD,49,36053,1150.0,1900.0,58.0,482.0
YSH-0542SD,50,36216,0,0,487.0,1132.0
YSH-0264S,50,35649,0,1132.0,487.0,1132.0
YSH-0452S,50,36032,0,2264.0,438.0,158.0
YSH-0497SD,50,36124,487.0,0,480.0,811.0
YSH-0485S,50,36101,487.0,811.0,480.0,811.0
YSH-0300S,50,35722,487.0,1622.0,480.0,741.0
YSH-0240SD,50,35599,487.0,2363.0,463.5,52.5
YSH-0326SD,50,35773,967.0,0,235.0,880.0
YSH-0226S,50,35571,967.0,880.0,235.0,860.0
YSH-0231S,50,35581,967.0,1740.0,214.5,587.0
YSH-0588S,50,36312,967.0,2327.0,201.0,48.0
YSH-0528S,50,36189,967.0,2375.0,175.0,48.0
YSH-0480S,51,36091,0,0,480.0,2364.0
YSH-0307SD,51,35735,0,2364.0,474.0,58.0
YSH-0264SD,51,35648,480.0,0,480.0,750.0
YSH-0252S,51,35625,480.0,750.0,480.0,974.0
YSH-0359SD,51,35840,480.0,1724.0,478.0,538.0
YSH-0573S,51,36281,480.0,2262.0,414.0,178.0
YSH-0586SD,51,36306,960.0,0,254.0,881.0
YSH-0282S,51,35685,960.0,881.0,251.0,425.0
YSH-0474S,51,36078,960.0,1306.0,248.0,798.0
YSH-0408SD,51,35941,960.0,2104.0,241.0,227.5
YSH-0436S,51,35999,960.0,2331.5,221.0,48.0
YSH-0383SD,51,35889,960.0,2379.5,201.0,48.0
YSH-0260SD,52,35640,0,0,480.0,2364.0
YSH-0397SD,52,35919,0,2364.0,450.5,58.0
YSH-0402SD,52,35929,480.0,0,472.0,1839.5
YSH-0419SD,52,35963,480.0,1839.5,472.0,471.0
YSH-0229SD,52,35576,480.0,2310.5,438.0,118.0
YSH-0340SD,52,35801,952.0,0,147.0,925.0
YSH-0442SD,52,36011,952.0,925.0,132.5,664.0
YSH-0410SD,52,35945,952.0,1589.0,132.5,425.0
YSH-0305S,52,35732,952.0,2014.0,132.5,403.0
YSH-0448SD,52,36023,1099.0,0,58.0,599.0
YSH-0445S,52,36018,1099.0,599.0,58.0,426.0
YSH-0428S,52,35982,1099.0,1025.0,58.0,381.0
YSH-0413SD,52,35951,1099.0,1406.0,58.0,432.0
YSH-0408S,52,35942,1099.0,1838.0,58.0,492.0
YSH-0437S,52,36001,1157.0,0,58.0,2332.0
YSH-0382SD,53,35887,0,0,472.0,894.5
YSH-0342S,53,35806,0,894.5,470.0,978.0
YSH-0561SD,53,36255,0,1872.5,468.5,472.0
YSH-0376SD,53,35875,0,2344.5,425.0,52.5
YSH-0271S,53,35663,472.0,0,471.0,1797.0
YSH-0362S,53,35847,472.0,1797.0,466.0,556.0
YSH-0420SD,53,35965,472.0,2353.0,438.0,78.0
YSH-0361S,53,35845,943.0,0,275.0,1242.0
YSH-0281SD,53,35682,943.0,1242.0,272.0,545.0
YSH-0582S,53,36299,943.0,1787.0,268.0,471.0
YSH-0557S,54,36248,0,0,464.5,2377.0
YSH-0583SD,54,36300,0,2377.0,440.5,58.0
YSH-0539SD,54,36210,464.5,0,464.0,598.0
YSH-0337S,54,35796,464.5,598.0,460.0,547.0
YSH-0312SD,54,35745,464.5,1145.0,460.0,698.0
YSH-0481SD,54,36092,464.5,1843.0,459.7,507.0
YSH-0571SD,54,36276,464.5,2350.0,438.0,78.0
YSH-0284S,54,35689,928.5,0,290.0,667.0
YSH-0373SD,54,35869,928.5,667.0,289.0,426.0
YSH-0353S,54,35829,928.5,1093.0,289.0,496.0
YSH-0569SD,54,36272,928.5,1589.0,286.0,502.0
YSH-0332S,54,35786,928.5,2091.0,277.5,306.0
YSH-0513SD,55,36158,0,0,457.0,806.0
YSH-0257SD,55,35634,0,806.0,457.0,1632.0
YSH-0314SD,55,35749,457.0,0,455.0,558.0
YSH-0232S,55,35583,457.0,558.0,453.0,515.0
YSH-0354S,55,35831,457.0,1073.0,451.0,459.0
YSH-0324S,55,35770,457.0,1532.0,448.0,558.0
YSH-0457S,55,36042,457.0,2090.0,446.0,339.0
YSH-0236S,55,35591,912.0,0,308.0,909.5
YSH-0224S,55,35567,912.0,909.5,304.0,389.0
YSH-0549SD,55,36231,912.0,1298.5,302.0,1127.0
YSH-0291SD,56,35703,0,0,455.0,2274.0
YSH-0563S,56,36260,0,2274.0,438.0,158.0
YSH-0336SD,56,35793,455.0,0,447.5,534.5
YSH-0516SD,56,36164,455.0,534.5,447.0,518.0
YSH-0511SD,56,36154,455.0,1052.5,447.0,941.0
YSH-0460S,56,36048,455.0,1993.5,445.0,444.0
YSH-0320SD,56,35761,902.5,0,312.0,2271.0
YSH-0555S,56,36244,902.5,2271.0,288.0,158.0
YSH-0350SD,57,35822,0,0,447.0,941.0
YSH-0330S,57,35782,0,941.0,447.0,577.0
YSH-0570SD,57,36274,0,1518.0,446.0,501.5
YSH-0495S,57,36121,0,2019.5,439.0,404.0
YSH-0265S,57,35651,447.0,0,446.0,2329.0
YSH-0583S,57,36301,447.0,2329.0,444.5,108.6
YSH-0549S,57,36232,893.0,0,327.0,1381.0
YSH-0296SD,57,35713,893.0,1381.0,327.0,882.0
YSH-0398S,57,35922,893.0,2263.0,303.0,132.5
YSH-0328SD,58,35777,0,0,445.0,2034.0
YSH-0456SD,58,36039,0,2034.0,439.0,404.0
YSH-0302S,58,35726,445.0,0,445.0,501.5
YSH-0263SD,58,35646,445.0,501.5,445.0,560.0
YSH-0256S,58,35633,445.0,1061.5,445.0,444.0
YSH-0425SD,58,35975,445.0,1505.5,443.0,668.0
YSH-0460SD,58,36047,445.0,2173.5,397.0,261.0
YSH-0293SD,58,35707,890.0,0,329.0,750.0
YSH-0557SD,58,36247,890.0,750.0,328.0,1398.0
YSH-0543SD,58,36218,890.0,2148.0,318.0,288.0
YSH-0419S,59,35964,0,0,440.5,575.0
YSH-0574SD,59,36282,0,575.0,439.0,446.0
YSH-0250SD,59,35620,0,1021.0,439.0,804.0
YSH-0244SD,59,35608,0,1825.0,421.0,510.0
YSH-0288SD,59,35696,0,2335.0,410.0,58.0
YSH-0520SD,59,36172,440.5,0,439.0,2309.0
YSH-0301S,59,35724,440.5,2309.0,438.0,118.0
YSH-0487S,59,36105,879.5,0,327.0,1381.0
YSH-0259S,59,35639,879.5,1381.0,327.0,422.0
YSH-0441SD,59,36008,879.5,1803.0,326.0,489.0
YSH-0333SD,59,35787,879.5,2292.0,318.0,88.0
YSH-0522S,60,36177,0,0,438.5,2068.5
YSH-0378SD,60,35879,0,2068.5,404.0,339.0
YSH-0482SD,60,36094,438.5,0,438.0,2068.5
YSH-0524SD,60,36180,438.5,2068.5,404.0,339.0
YSH-0553SD,60,36239,876.5,0,343.5,2244.0
YSH-0235SD,60,35588,876.5,2244.0,342.0,178.0
YSH-0367S,61,35857,0,0,438.0,805.0
YSH-0430S,61,35986,0,805.0,435.0,1584.5
YSH-0552SD,61,36237,0,2389.5,403.0,48.0
YSH-0240S,61,35600,438.0,0,438.0,2001.0
YSH-0554S,61,36242,438.0,2001.0,389.0,340.0
YSH-0339S,61,35800,438.0,2341.0,388.0,78.0
YSH-0388SD,61,35900,876.0,0,343.0,2198.0
YSH-0316SD,61,35753,876.0,2198.0,338.0,198.0
YSH-0247S,62,35615,0,0,435.0,2361.0
YSH-0510SD,62,36152,0,2361.0,388.0,78.0
YSH-0228SD,62,35574,435.0,0,432.0,1548.0
YSH-0306SD,62,35733,435.0,1548.0,431.0,479.5
YSH-0393S,62,35911,435.0,2027.5,420.5,398.0
YSH-0394SD,62,35913,867.0,0,353.0,844.5
YSH-0358S,62,35839,867.0,844.5,353.0,752.0
YSH-0567SD,62,36268,867.0,1596.5,351.5,599.0
YSH-0254S,62,35629,867.0,2195.5,328.0,233.0
YSH-0521SD,63,36174,0,0,430.0,1902.5
YSH-0395SD,63,35915,0,1902.5,430.0,474.0
YSH-0506S,63,36144,0,2376.5,410.0,58.0
YSH-0505SD,63,36141,430.0,0,430.0,1994.0
